"name","team","sport","event","year"
"Yolanda Gail L. Devers (-Roberts)","United States","Athletics","Athletics Women's 100 metres",1992
"Yolanda Gail L. Devers (-Roberts)","United States","Athletics","Athletics Women's 100 metres",1996
"Yolanda Gail L. Devers (-Roberts)","United States","Athletics","Athletics Women's 4 x 100 metres Relay",1996
"John Thomas Devitt","Australia","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",1956
"John Thomas Devitt","Australia","Swimming","Swimming Men's 100 metres Freestyle",1960
"Marlon Ronald Devonish","Great Britain","Athletics","Athletics Men's 4 x 100 metres Relay",2004
"Mikhail Talgatovich Devyatyarov","Soviet Union","Cross Country Skiing","Cross Country Skiing Men's 15 kilometres",1988
"Kazimierz Deyna","Poland","Football","Football Men's Football",1972
"Walter Ignace D'Hondt","Canada","Rowing","Rowing Men's Coxless Fours",1956
"Pierre Georges Louis Gaston d'Hugues","France","Fencing","Fencing Men's epee, Team",1906
"Raimondo D'Inzeo","Italy","Equestrianism","Equestrianism Mixed Jumping, Individual",1960
"Giuseppe Di Capua","Italy","Rowing","Rowing Men's Coxed Pairs",1984
"Giuseppe Di Capua","Italy","Rowing","Rowing Men's Coxed Pairs",1988
"Giorgio Di Centa","Italy","Cross Country Skiing","Cross Country Skiing Men's 50 kilometres",2006
"Giorgio Di Centa","Italy","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",2006
"Manuela Di Centa","Italy","Cross Country Skiing","Cross Country Skiing Women's 15 kilometres",1994
"Manuela Di Centa","Italy","Cross Country Skiing","Cross Country Skiing Women's 30 kilometres",1994
"Roberto Di Donna","Italy","Shooting","Shooting Men's Air Pistol, 10 metres",1996
"Elisa Di Francisca","Italy","Fencing","Fencing Women's Foil, Individual",2012
"Elisa Di Francisca","Italy","Fencing","Fencing Women's Foil, Team",2012
"ngel Fabin Di Mara Hernndez","Argentina","Football","Football Men's Football",2008
"Tania Di Mario","Italy","Water Polo","Water Polo Women's Water Polo",2004
"Manlio Di Rosa","Italy","Fencing","Fencing Men's Foil, Team",1936
"Manlio Di Rosa","Italy","Fencing","Fencing Men's Foil, Team",1956
"Michael Constantine Diamond (Diamondopoulous-)","Australia","Shooting","Shooting Men's Trap",1996
"Michael Constantine Diamond (Diamondopoulous-)","Australia","Shooting","Shooting Men's Trap",2000
"Flix Manuel Daz Guzmn","Dominican Republic","Boxing","Boxing Men's Light-Welterweight",2008
"Giorge Daz Loren","Cuba","Baseball","Baseball Men's Baseball",1992
"Manuel Dionisio Daz Martnez","Cuba","Fencing","Fencing Men's Foil, Team",1904
"Manuel Dionisio Daz Martnez","Cuba","Fencing","Fencing Men's Sabre, Individual",1904
"Vasile Dba","Romania","Canoeing","Canoeing Men's Kayak Singles, 500 metres",1976
"Tirunesh Dibaba Keneni","Ethiopia","Athletics","Athletics Women's 5,000 metres",2008
"Tirunesh Dibaba Keneni","Ethiopia","Athletics","Athletics Women's 10,000 metres",2008
"Tirunesh Dibaba Keneni","Ethiopia","Athletics","Athletics Women's 10,000 metres",2012
"Viggo Valdemar Dibbern","Denmark","Gymnastics","Gymnastics Men's Team All-Around, Free System",1920
"Klaus Dibiasi","Italy","Diving","Diving Men's Platform",1968
"Klaus Dibiasi","Italy","Diving","Diving Men's Platform",1972
"Klaus Dibiasi","Italy","Diving","Diving Men's Platform",1976
"Andreas Dibowski","Germany","Equestrianism","Equestrianism Mixed Three-Day Event, Team",2008
"George Thomas DiCarlo","United States","Swimming","Swimming Men's 400 metres Freestyle",1984
"William Eugene ""Billy"" Dickey","United States","Swimming","Swimming Men's Plunge For Distance",1904
"Simon Charles Dickie","New Zealand","Rowing","Rowing Men's Coxed Fours",1968
"Simon Charles Dickie","New Zealand","Rowing","Rowing Men's Coxed Eights",1972
"Robert Bruce Dickson","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",1952
"William Edgar Exshaw","Olle","Sailing","Sailing Mixed 2-3 Ton",1900
"Valery Antonovich Didenko","Soviet Union","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",1972
"William Edgar Exshaw","Olle","Sailing","Sailing Mixed 2-3 Ton",1900
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)","United States","Athletics","Athletics Women's 80 metres Hurdles",1932
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)","United States","Athletics","Athletics Women's Javelin Throw",1932
"Nelson W. Diebel","United States","Swimming","Swimming Men's 100 metres Breaststroke",1992
"Nelson W. Diebel","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay",1992
"Gottfried Diener","Switzerland-1","Bobsleigh","Bobsleigh Men's Four",1956
"Ines Diers (-Noack)","East Germany","Swimming","Swimming Women's 400 metres Freestyle",1980
"Ines Diers (-Noack)","East Germany","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1980
"Eckart Diesch","West Germany","Sailing","Sailing Mixed Two Person Heavyweight Dinghy",1976
"Jrg Diesch","West Germany","Sailing","Sailing Mixed Two Person Heavyweight Dinghy",1976
"Ullrich Diener","East Germany","Rowing","Rowing Men's Coxed Fours",1980
"Walter Diener","East Germany","Rowing","Rowing Men's Coxed Fours",1980
"Wilfried Dietrich","Germany","Wrestling","Wrestling Men's Heavyweight, Freestyle",1960
"George John Dietz","Century Boat Club-1","Rowing","Rowing Men's Coxless Fours",1904
"John A. Dietz","United States","Shooting","Shooting Men's Free Pistol, 50 yards, Team",1908
"John A. Dietz","United States","Shooting","Shooting Men's Free Pistol, 50 metres, Team",1912
"Tina Dietze","Germany","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",2012
"Alex Walter Diggelmann","Switzerland","Art Competitions","Art Competitions Mixed Painting, Applied Arts",1936
"Sjoukje Rosalinde Dijkstra (-Kossmayer)","Netherlands","Figure Skating","Figure Skating Women's Singles",1964
"Wieke Elisabeth Henritte Dijkstra","Netherlands","Hockey","Hockey Women's Hockey",2008
"Robert Dill-Bundi","Switzerland","Cycling","Cycling Men's Individual Pursuit, 4,000 metres",1980
"William Harrison Dillard","United States","Athletics","Athletics Men's 100 metres",1948
"William Harrison Dillard","United States","Athletics","Athletics Men's 4 x 100 metres Relay",1948
"William Harrison Dillard","United States","Athletics","Athletics Men's 110 metres Hurdles",1952
"William Harrison Dillard","United States","Athletics","Athletics Men's 4 x 100 metres Relay",1952
"Angus F. ""Gus"" Dillon","Canada","Lacrosse","Lacrosse Men's Lacrosse",1908
"Georges Arthur Dillon-Kavanagh du Fertagh","France","Fencing","Fencing Men's Foil, Individual",1906
"Georges Arthur Dillon-Kavanagh du Fertagh","France","Fencing","Fencing Men's epee, Team",1906
"Pyrros Dimas","Greece","Weightlifting","Weightlifting Men's Light-Heavyweight",1992
"Pyrros Dimas","Greece","Weightlifting","Weightlifting Men's Light-Heavyweight",1996
"Pyrros Dimas","Greece","Weightlifting","Weightlifting Men's Light-Heavyweight",2000
"Trent Dimas","United States","Gymnastics","Gymnastics Men's Horizontal Bar",1992
"Konstantinos ""Kostas"" Dimitriadis","Greece","Art Competitions","Art Competitions Mixed Sculpturing",1924
"Jacques Dimont","France","Fencing","Fencing Men's Foil, Team",1968
"Alfredo Dinale","Italy","Cycling","Cycling Men's Team Pursuit, 4,000 metres",1924
"Didier Dominique Dinart","France","Handball","Handball Men's Handball",2008
"Didier Dominique Dinart","France","Handball","Handball Men's Handball",2012
"Joseph ""Joe"" Dines","Great Britain","Football","Football Men's Football",1912
"Ding Meiyuan","China","Weightlifting","Weightlifting Women's Super-Heavyweight",2000
"Ding Ning","China","Table Tennis","Table Tennis Women's Team",2012
"Ding Ning","China","Table Tennis","Table Tennis Women's Singles",2016
"Ding Ning","China","Table Tennis","Table Tennis Women's Team",2016
"Ding Xia","China","Volleyball","Volleyball Women's Volleyball",2016
"Loredana Dinu (Iordchioiu-)","Romania","Fencing","Fencing Women's epee, Team",2016
"Madeline Jane ""Maya"" DiRado","United States","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",2016
"Madeline Jane ""Maya"" DiRado","United States","Swimming","Swimming Women's 200 metres Backstroke",2016
"Carlien Clemens Dirkse van den Heuvel","Netherlands","Hockey","Hockey Women's Hockey",2012
"Terence Gilbert ""Terry"" Dischinger","United States","Basketball","Basketball Men's Basketball",1960
"Ursula ""Uschi"" Disl","Germany","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",1998
"Ursula ""Uschi"" Disl","Germany","Biathlon","Biathlon Women's 4 x 7.5 kilometres Relay",2002
"Constantina Di-Tomescu","Romania","Athletics","Athletics Women's Marathon",2008
"Bernd Dittert","Germany","Cycling","Cycling Men's 100 kilometres Team Time Trial",1992
"Andreas Dittmer","Germany","Canoeing","Canoeing Men's Canadian Doubles, 1,000 metres",1996
"Andreas Dittmer","Germany","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",2000
"Andreas Dittmer","Germany","Canoeing","Canoeing Men's Canadian Singles, 500 metres",2004
"Aleksandr Nikolayevich Dityatin","Soviet Union","Gymnastics","Gymnastics Men's Individual All-Around",1980
"Aleksandr Nikolayevich Dityatin","Soviet Union","Gymnastics","Gymnastics Men's Team All-Around",1980
"Aleksandr Nikolayevich Dityatin","Soviet Union","Gymnastics","Gymnastics Men's Rings",1980
"Charles Percy Dixon","Great Britain-2","Tennis","Tennis Mixed Doubles, Covered Courts",1912
"Diamond Brittany Dixon","United States","Athletics","Athletics Women's 4 x 400 metres Relay",2012
"Diane Lynn Dixon (-Trouse)","United States","Athletics","Athletics Women's 4 x 400 metres Relay",1984
"Francis Joseph ""Frank"" Dixon","Canada","Lacrosse","Lacrosse Men's Lacrosse",1908
"George Martin Dixon","United States","Rugby","Rugby Men's Rugby",1924
"Richard Travers Dixon","Heroine","Sailing","Sailing Mixed 7 metres",1908
"Thomas Robin Valerian Dixon","Great Britain-1","Bobsleigh","Bobsleigh Men's Two",1964
"Slavica Djuki","Yugoslavia","Handball","Handball Women's Handball",1984
"Artur Valeryevich Dmitriyev","Unified Team-1","Figure Skating","Figure Skating Mixed Pairs",1992
"Artur Valeryevich Dmitriyev","Russia-1","Figure Skating","Figure Skating Mixed Pairs",1998
"Roman Mikhaylovich Dmitriyev","Soviet Union","Wrestling","Wrestling Men's Light-Flyweight, Freestyle",1972
"Darya Yevgenyevna Dmitriyeva","Russia","Handball","Handball Women's Handball",2016
"Christian Marie Auguste d'Oriola","France","Fencing","Fencing Men's Foil, Team",1948
"Christian Marie Auguste d'Oriola","France","Fencing","Fencing Men's Foil, Individual",1952
"Christian Marie Auguste d'Oriola","France","Fencing","Fencing Men's Foil, Team",1952
"Christian Marie Auguste d'Oriola","France","Fencing","Fencing Men's Foil, Individual",1956
"Gerlinde Doberschtz (Mey-)","East Germany","Rowing","Rowing Women's Coxed Fours",1988
"Jens Doberschtz","East Germany","Rowing","Rowing Men's Coxed Eights",1980
"Igor Ivanovich Doborovolsky","Soviet Union","Football","Football Men's Football",1988
"Marina Viktorovna Dobrancheva-Logvinenko","Unified Team","Shooting","Shooting Women's Air Pistol, 10 metres",1992
"Marina Viktorovna Dobrancheva-Logvinenko","Unified Team","Shooting","Shooting Women's Sporting Pistol, 25 metres",1992
"Dimitar Dimitrov Dobrev","Bulgaria","Wrestling","Wrestling Men's Middleweight, Greco-Roman",1960
"Milen Atanasov Dobrev","Bulgaria","Weightlifting","Weightlifting Men's Middle-Heavyweight",2004
"Nataliya Volodymyrivna Dobrynska","Ukraine","Athletics","Athletics Women's Heptathlon",2008
"Louise Karen Dobson","Australia","Hockey","Hockey Women's Hockey",1996
"Nika Dobud","Croatia","Water Polo","Water Polo Men's Water Polo",2012
"William Dod","Great Britain","Archery","Archery Men's Double York Round",1908
"Richard David Allan Dodds","Great Britain","Hockey","Hockey Men's Hockey",1988
"Charles Webster ""Charlie"" Doe, Jr.","United States","Rugby","Rugby Men's Rugby",1920
"Charles Webster ""Charlie"" Doe, Jr.","United States","Rugby","Rugby Men's Rugby",1924
"Lothar Doering","East Germany","Handball","Handball Men's Handball",1980
"Susan Elizabeth Doerr","United States","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1960
"Anna Aleksandre Dogonadze-Lilkendey","Germany","Trampolining","Trampolining Women's Individual",2004
"Yaar Dou","Turkey","Wrestling","Wrestling Men's Welterweight, Freestyle",1948
"Hugh Lawrence ""Laurie"" Doherty","Great Britain","Tennis","Tennis Men's Singles",1900
"Hugh Lawrence ""Laurie"" Doherty","Great Britain-1","Tennis","Tennis Men's Doubles",1900
"Reginald Frank ""Reggie"" Doherty","Great Britain","Tennis","Tennis Mixed Doubles",1900
"Reginald Frank ""Reggie"" Doherty","Great Britain-1","Tennis","Tennis Men's Doubles",1900
"Reginald Frank ""Reggie"" Doherty","Great Britain-1","Tennis","Tennis Men's Doubles",1908
"Gottfried Dhn","East Germany","Rowing","Rowing Men's Coxed Eights",1976
"Gottfried Dhn","East Germany","Rowing","Rowing Men's Coxed Fours",1980
"Martin Doktor","Czech Republic","Canoeing","Canoeing Men's Canadian Singles, 500 metres",1996
"Martin Doktor","Czech Republic","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",1996
"Aleksandr Dokturishvili","Uzbekistan","Wrestling","Wrestling Men's Middleweight, Greco-Roman",2004
"Thomas Fitzgerald ""Tom"" Dolan","United States","Swimming","Swimming Men's 400 metres Individual Medley",1996
"Thomas Fitzgerald ""Tom"" Dolan","United States","Swimming","Swimming Men's 400 metres Individual Medley",2000
"George Stuart Dole","United States","Wrestling","Wrestling Men's Featherweight, Freestyle",1908
"Peter James Dolfen","United States","Shooting","Shooting Men's Free Pistol, 50 metres, Team",1912
"Aleksandr Ivanovich Dolgushin","Soviet Union","Water Polo","Water Polo Men's Water Polo",1972
"Evert Gerardus ""Eef"" Dolman","Netherlands","Cycling","Cycling Men's 100 kilometres Team Time Trial",1964
"Rudolf Dombi","Hungary","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",2012
"Lutz Dombrowski","East Germany","Athletics","Athletics Men's Long Jump",1980
"Antonio Domenicali","Italy","Cycling","Cycling Men's Team Pursuit, 4,000 metres",1956
"Giuseppe Domenichelli","Italy","Gymnastics","Gymnastics Men's Team All-Around",1912
"Giuseppe Domenichelli","Italy","Gymnastics","Gymnastics Men's Team All-Around",1920
"Thomas Domian","West Germany","Rowing","Rowing Men's Coxed Eights",1988
"Davor Dominikovi","Croatia","Handball","Handball Men's Handball",2004
"Apisai Raviyawa Domolailai","Fiji","Rugby Sevens","Rugby Sevens Men's Rugby Sevens",2016
"Ldia Dmlky-Skovics","Hungary","Fencing","Fencing Women's Foil, Team",1964
"Zoltn Dmtr","Hungary","Water Polo","Water Polo Men's Water Polo",1964
"Darya Vladimirovna Domracheva","Belarus","Biathlon","Biathlon Women's 10 kilometres Pursuit",2014
"Darya Vladimirovna Domracheva","Belarus","Biathlon","Biathlon Women's 12.5 kilometres Mass Start",2014
"Darya Vladimirovna Domracheva","Belarus","Biathlon","Biathlon Women's 15 kilometres",2014
"Stefano Donagrandi","Italy","Speed Skating","Speed Skating Men's Team Pursuit (8 laps)",2006
"Claire Christine Donahue","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",2012
"Dong Dong","China","Trampolining","Trampolining Men's Individual",2012
"Yordanka Lyubchova Donkova","Bulgaria","Athletics","Athletics Women's 100 metres Hurdles",1988
"Peter Dwight Donlon","United States","Rowing","Rowing Men's Coxed Eights",1928
"William Stephens Donne","Devon and Somerset Wanderers","Cricket","Cricket Men's Cricket",1900
"Euphrasia Louise ""Fraze"" Donnelly (-Bungard, -Berlin)","United States","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1924
"Anne Theresa Donovan","United States","Basketball","Basketball Women's Basketball",1984
"Anne Theresa Donovan","United States","Basketball","Basketball Women's Basketball",1988
"Ulyana Vyacheslavovna Donskova","Russia","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",2012
"va Dnusz","Hungary","Canoeing","Canoeing Women's Kayak Fours, 500 metres",1992
"Frank Martin Dooley","United States","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",1952
"Ji Dopita","Czech Republic","Ice Hockey","Ice Hockey Men's Ice Hockey",1998
"Natalia Dorado Gmez","Spain","Hockey","Hockey Women's Hockey",1992
"Giuseppe ""Pino"" Dordoni","Italy","Athletics","Athletics Men's 50 kilometres Walk",1952
"Jos Luis Doreste Blanco","Spain","Sailing","Sailing Mixed One Person Dinghy",1988
"Luis Doreste Blanco","Spain","Sailing","Sailing Mixed Two Person Dinghy",1984
"Luis Doreste Blanco","Spain","Sailing","Sailing Mixed Two Person Heavyweight Dinghy",1992
"Xavier Elle Dorfman","France","Rowing","Rowing Men's Lightweight Coxless Fours",2000
"Michaela Dorfmeister","Austria","Alpine Skiing","Alpine Skiing Women's Downhill",2006
"Michaela Dorfmeister","Austria","Alpine Skiing","Alpine Skiing Women's Super G",2006
"Alfons Dorfner","Austria","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres",1936
"Robert Dorgebray","France","Cycling","Cycling Men's Road Race, Team",1936
"Gabriella Dorio (-Spigarolo)","Italy","Athletics","Athletics Women's 1,500 metres",1984
"Loretta Dorman","Australia","Hockey","Hockey Women's Hockey",1988
"Hans-Jrgen Drner","East Germany","Football","Football Men's Football",1976
"Vladimir Vyacheslavovich Dorokhov","Soviet Union","Volleyball","Volleyball Men's Volleyball",1980
"Wilhelm ""Willy"" Drr","Germany","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",1906
"Karl James Dorsey","Angelita","Sailing","Sailing Mixed 8 metres",1932
"Giovani dos Santos Ramrez","Mexico","Football","Football Men's Football",2012
"Sara Dosho","Japan","Wrestling","Wrestling Women's Light-Heavyweight, Freestyle",2016
"Kurt Dossin","Germany","Handball","Handball Men's Handball",1936
"Joseph Dosu (Oladosu-)","Nigeria","Football","Football Men's Football",1996
"Ralph Douglas Doubell","Australia","Athletics","Athletics Men's 800 metres",1968
"Natasa Douchev-Janics","Hungary","Canoeing","Canoeing Women's Kayak Singles, 500 metres",2004
"Natasa Douchev-Janics","Hungary","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",2004
"Natasa Douchev-Janics","Hungary","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",2008
"Drew Doughty","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",2010
"Drew Doughty","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",2014
"Douglas Chiarotti","Brazil","Volleyball","Volleyball Men's Volleyball",1992
"Gabrielle Christina Victoria ""Gabby"" Douglas","United States","Gymnastics","Gymnastics Women's Individual All-Around",2012
"Gabrielle Christina Victoria ""Gabby"" Douglas","United States","Gymnastics","Gymnastics Women's Team All-Around",2012
"Gabrielle Christina Victoria ""Gabby"" Douglas","United States","Gymnastics","Gymnastics Women's Team All-Around",2016
"John William Henry Tyler Douglas","Great Britain","Boxing","Boxing Men's Middleweight",1908
"Rowley Douglas","Great Britain","Rowing","Rowing Men's Coxed Eights",2000
"Douglas dos Santos Justino de Melo","Brazil","Football","Football Men's Football",2016
"David Douillet","France","Judo","Judo Men's Heavyweight",1996
"David Douillet","France","Judo","Judo Men's Heavyweight",2000
"Owain Daniel John Doull","Great Britain","Cycling","Cycling Men's Team Pursuit, 4,000 metres",2016
"Dmitry Aleksandrovich Dovgalyonok","Unified Team","Canoeing","Canoeing Men's Canadian Doubles, 500 metres",1992
"Nataliya Viktorivna Dovhodko","Ukraine","Rowing","Rowing Women's Quadruple Sculls",2012
"Murray Albert Dowey","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",1948
"Arthur Drummond Downes","Hera-1","Sailing","Sailing Mixed 12 metres",1908
"John Henry Downes","Hera-1","Sailing","Sailing Mixed 12 metres",1908
"Burton Cecil Downing","United States","Cycling","Cycling Men's 2 mile",1904
"Burton Cecil Downing","United States","Cycling","Cycling Men's 25 mile",1904
"Stacy Rene Dragila (Mikaelsen-, -Waltz)","United States","Athletics","Athletics Women's Pole Vault",2000
"Ion Draica","Romania","Wrestling","Wrestling Men's Middleweight, Greco-Roman",1984
"Foy Draper","United States","Athletics","Athletics Men's 4 x 100 metres Relay",1936
"Victoria Manalo ""Vicki"" Draves","United States","Diving","Diving Women's Springboard",1948
"Victoria Manalo ""Vicki"" Draves","United States","Diving","Diving Women's Platform",1948
"Otis Paul Drayton","United States","Athletics","Athletics Men's 4 x 100 metres Relay",1964
"Heike Gabriela Drechsler (Daute-)","Germany","Athletics","Athletics Women's Long Jump",1992
"Heike Gabriela Drechsler (Daute-)","Germany","Athletics","Athletics Women's Long Jump",2000
"Gnter Dreibrodt","East Germany","Handball","Handball Men's Handball",1980
"Joachim Dreifke","East Germany","Rowing","Rowing Men's Double Sculls",1980
"Caeleb Remel Dressel","United States","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",2016
"Caeleb Remel Dressel","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay",2016
"Ivan Chandler Dresser","United States","Athletics","Athletics Men's 3,000 metres, Team",1920
"Aleksandr Konstantinovich Dreval","Soviet Union","Water Polo","Water Polo Men's Water Polo",1972
"Clyde Austin Drexler","United States","Basketball","Basketball Men's Basketball",1992
"Gerald Dreyer","South Africa","Boxing","Boxing Men's Lightweight",1948
"Annika Elise Madsen Dries","United States","Water Polo","Water Polo Women's Water Polo",2012
"Ionel Alexandru ""Ion"" Drmb","Romania","Fencing","Fencing Men's Foil, Individual",1968
"Andreas Drivas","Large boat, Central Naval Prep School ""Poros""-1","Rowing","Rowing Men's 17-Man Naval Rowing Boats",1906
"Franois Louis Drolet","Canada","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",1998
"Horst Drse","West Germany","Hockey","Hockey Men's Hockey",1972
"Derek Drouin","Canada","Athletics","Athletics Men's High Jump",2016
"Nikolay Vladimirovich Drozdetsky","Soviet Union","Ice Hockey","Ice Hockey Men's Ice Hockey",1984
"Jonathan A. ""Jon"" Drummond","United States","Athletics","Athletics Men's 4 x 100 metres Relay",2000
"Guy Drut","France","Athletics","Athletics Men's 110 metres Hurdles",1976
"Matthew Alexander ""Matt"" Dryke","United States","Shooting","Shooting Mixed Skeet",1984
"Alexander Mah Owens Drysdale","New Zealand","Rowing","Rowing Men's Single Sculls",2012
"Alexander Mah Owens Drysdale","New Zealand","Rowing","Rowing Men's Single Sculls",2016
"Du Jing","China-1","Badminton","Badminton Women's Doubles",2008
"Du Li","China","Shooting","Shooting Women's Air Rifle, 10 metres",2004
"Du Li","China","Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",2008
"Jeroen Dubbeldam","Netherlands","Equestrianism","Equestrianism Mixed Jumping, Individual",2000
"Boris Yakovlevich Dubrovsky","Soviet Union","Rowing","Rowing Men's Double Sculls",1964
"Matthew ""Matt"" Duchene","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",2014
"Milena Duchkov (-Neveklovsk)","Czechoslovakia","Diving","Diving Women's Platform",1968
"George Ducker","Galt Football Club","Football","Football Men's Football",1904
"Richard Louis Duckett","Canada","Lacrosse","Lacrosse Men's Lacrosse",1908
"Roger Franois Ducret","France","Fencing","Fencing Men's Foil, Individual",1924
"Roger Franois Ducret","France","Fencing","Fencing Men's Foil, Team",1924
"Roger Franois Ducret","France","Fencing","Fencing Men's epee, Team",1924
"Kseniya Pavlovna Dudkina","Russia","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",2012
"William Henry Dudley, III","United States","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay",1948
"Carl Christian Due-Boje","Sweden","Ice Hockey","Ice Hockey Men's Ice Hockey",1994
"Virginia Ruth ""Ginny"" Duenkel","United States","Swimming","Swimming Women's 400 metres Freestyle",1964
"Christof Duffner","Germany","Ski Jumping","Ski Jumping Men's Large Hill, Team",1994
"Justine Dufour-Lapointe","Canada","Freestyle Skiing","Freestyle Skiing Women's Moguls",2014
"Luis Jorge Duggan Ham","Argentina","Polo","Polo Men's Polo",1936
"Uwe Dhring","East Germany","Rowing","Rowing Men's Coxed Eights",1980
"Charlotte Susan Jane Dujardin","Great Britain","Equestrianism","Equestrianism Mixed Dressage, Individual",2012
"Charlotte Susan Jane Dujardin","Great Britain","Equestrianism","Equestrianism Mixed Dressage, Team",2012
"Charlotte Susan Jane Dujardin","Great Britain","Equestrianism","Equestrianism Mixed Dressage, Individual",2016
"Paul Lon Auguste Louis Joseph Dujardin","France","Water Polo","Water Polo Men's Water Polo",1924
"Julia Dujmovits","Austria","Snowboarding","Snowboarding Women's Parallel Slalom",2014
"Charles Everett ""Charlie"" Dumas","United States","Athletics","Athletics Men's High Jump",1956
"Maria Magdalena Dumitrache","Romania","Rowing","Rowing Women's Coxed Eights",2000
"Ion Dumitrescu","Romania","Shooting","Shooting Men's Trap",1960
"Alexe Dumitru","Romania","Canoeing","Canoeing Men's Canadian Doubles, 1,000 metres",1956
"Alina Alexandra Dumitru (-Croitoru)","Romania","Judo","Judo Women's Extra-Lightweight",2008
"Franck Dumoulin","France","Shooting","Shooting Men's Air Pistol, 10 metres",2000
"Antal Dunai (Dujmov)","Hungary","Football","Football Men's Football",1968
"Lajos Dunai (Drestyk-)","Hungary","Football","Football Men's Football",1968
"James Ralph ""Jim"" Dunbar","United States","Rowing","Rowing Men's Coxed Eights",1952
"Albert Gordon ""Bert"" Duncanson","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",1932
"Frank Dundr (Butz-)","East Germany","Rowing","Rowing Men's Quadruple Sculls",1980
"David Coombs ""Dave"" Dunlap","United States","Rowing","Rowing Men's Coxed Eights",1932
"David Dunlop","Hera-1","Sailing","Sailing Mixed 12 metres",1908
"Patricia ""Tricia"" Dunn-Luoma","United States","Ice Hockey","Ice Hockey Women's Ice Hockey",1998
"Bernard Francis ""Frank"" Dunster","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",1948
"Jacques Dupont","France","Cycling","Cycling Men's 1,000 metres Time Trial",1948
"Lori Dupuis","Canada","Ice Hockey","Ice Hockey Women's Ice Hockey",2002
"Sarah Frances ""Fanny"" Durack (-Gately)","Australasia","Swimming","Swimming Women's 100 metres Freestyle",1912
"Pierre Durand, Jr.","France","Equestrianism","Equestrianism Mixed Jumping, Individual",1988
"Kevin Wayne Durant","United States","Basketball","Basketball Men's Basketball",2012
"Kevin Wayne Durant","United States","Basketball","Basketball Men's Basketball",2016
"Scott David Durant","Great Britain","Rowing","Rowing Men's Coxed Eights",2016
"Vladimir Durkovi","Yugoslavia","Football","Football Men's Football",1960
"Michael Drsch","West Germany","Rowing","Rowing Men's Quadruple Sculls",1984
"Hasanboy Dusmatov","Uzbekistan","Boxing","Boxing Men's Light-Flyweight",2016
"Keshav Chandra Dutt","India","Hockey","Hockey Men's Hockey",1948
"Keshav Chandra Dutt","India","Hockey","Hockey Men's Hockey",1952
"Phillip Peter Dutton","Australia","Equestrianism","Equestrianism Mixed Three-Day Event, Team",1996
"Phillip Peter Dutton","Australia","Equestrianism","Equestrianism Mixed Three-Day Event, Team",2000
"Ren Duverger","France","Weightlifting","Weightlifting Men's Lightweight",1932
"Bernd Duvigneau","East Germany","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",1980
"Richard Lloyd ""Rich"" Duwelius","United States","Volleyball","Volleyball Men's Volleyball",1984
"Talant Mushanbetovich Duyshebayev","Unified Team","Handball","Handball Men's Handball",1992
"Jeroen Tarquinis Cornelis Duyster","Netherlands","Rowing","Rowing Men's Coxed Eights",1996
"Veselin uho","Yugoslavia","Water Polo","Water Polo Men's Water Polo",1984
"Veselin uho","Yugoslavia","Water Polo","Water Polo Men's Water Polo",1988
"Dragica uri","Yugoslavia","Handball","Handball Women's Handball",1984
"Mirjana urica","Yugoslavia","Handball","Handball Women's Handball",1984
